"Date","BGN","CAD","CNY","EUR","GBP","HRK","ILS","SGD","USD"
"2019-04-12",0.0250315307,0.019281761,0.0969362563,0.0127734907,0.0110517552,0.095139625,0.0515394337,0.0195616804,0.0144586459
"2019-04-13",0.0249761099,0.0192735489,0.0968974322,0.0127680017,0.011049299,0.0949234966,0.0515184476,0.0195533512,0.0144525964
"2019-04-14",0.0249786836,0.019276102,0.0969223465,0.0127896793,0.011049818,0.0949511783,0.0515327116,0.0195600312,0.014456679
"2019-04-15",0.0247804949,0.0191497361,0.0960856809,0.0126696729,0.0109322512,0.0942584592,0.051033738,0.0193740212,0.0143221642
"2019-04-16",0.0247969711,0.0191148505,0.0960322157,0.0126783281,0.0109677975,0.0942794798,0.0510310682,0.0193812446,0.0143068803
"2019-04-17",0.02494093,0.0192350582,0.0963611452,0.0127539289,0.0110499761,0.0948444875,0.0515110389,0.0194896354,0.014407312
"2019-04-18",0.0250996106,0.0192802673,0.0966852282,0.0128262753,0.0110915109,0.0954814994,0.0517944897,0.0195380754,0.0144107357
"2019-04-19",0.0252267582,0.0193118275,0.0966186541,0.0128138339,0.011088856,0.0954361002,0.0518055418,0.01951992,0.0144108436
"2019-04-20",0.02522686,0.0193119054,0.0966183234,0.0128138857,0.0110890448,0.09543735,0.0518054626,0.0195199988,0.0144109018
"2019-04-21",0.0252342907,0.0192911801,0.0966479115,0.0128204722,0.01109569,0.0954649978,0.0518213065,0.0195349417,0.0144152289
"2019-04-22",0.0248219213,0.019045628,0.0957494433,0.0126756795,0.0109937516,0.0944317,0.0512825306,0.019353872,0.0142705569
"2019-04-23",0.0249799842,0.0192491428,0.096402802,0.0127701274,0.011078566,0.0947989576,0.0517041313,0.0194498025,0.0143328366
"2019-04-24",0.0250160648,0.019250555,0.0958839081,0.0127895325,0.0110547445,0.0949467632,0.0516137223,0.0194352739,0.0142640024
"2019-04-25",0.0250292428,0.0192113223,0.0960979389,0.01279686,0.0110514126,0.0949242366,0.0517466445,0.0194166774,0.014250877
"2019-04-26",0.0251015196,0.0192886431,0.0963421467,0.0128239743,0.0110829029,0.0952545855,0.0518377451,0.019499656,0.0143156668
"2019-04-27",0.025082728,0.0192890872,0.096345368,0.0128240312,0.0110843643,0.0951103361,0.0518379813,0.0195002466,0.0143158901
"2019-04-28",0.0250822827,0.0192728544,0.096343944,0.0128395508,0.0110808749,0.0951089341,0.0518372043,0.01949217,0.014315636
"2019-04-29",0.0250464782,0.0192710166,0.096436718,0.0128049515,0.0110751487,0.094976454,0.0517724893,0.0194941523,0.0143219304
"2019-04-30",0.0250740936,0.0192476593,0.096810691,0.0128164879,0.0110238385,0.0950012233,0.0517637423,0.0195525434,0.0143745449
"2019-05-01",0.0250586837,0.0192977136,0.096706532,0.0128199606,0.0110018706,0.0949104108,0.0515192006,0.0195469794,0.0143586315
"2019-05-02",0.0252091631,0.0193998064,0.0969954315,0.0128898071,0.0110507104,0.0955726878,0.0517985848,0.0196290814,0.0144016973
"2019-05-03",0.0252380956,0.0194246388,0.0973515864,0.0128934802,0.0109735375,0.0956841765,0.0517932065,0.0196651737,0.0144552224
"2019-05-04",0.0252378913,0.019424337,0.0973505093,0.0128933758,0.0109735933,0.0956822456,0.0517929318,0.019665159,0.0144551054
"2019-05-05",0.0252379424,0.0194759811,0.0973507063,0.0129234686,0.0109925517,0.0956830174,0.0517936148,0.0197458585,0.0144551347
"2019-05-06",0.0251562414,0.0193768207,0.0974572047,0.0128619341,0.0109998588,0.0953373922,0.0517227618,0.0196462273,0.0144067723
"2019-05-07",0.024997626,0.0192663576,0.0969230061,0.0127806927,0.0109445416,0.0946998603,0.0513729016,0.0194958944,0.0143013559
"2019-05-08",0.0249443645,0.0192380347,0.0968511168,0.0127511092,0.010973887,0.0944994778,0.0510198574,0.0194496394,0.0142783181
"2019-05-09",0.0247595297,0.0191228884,0.0969548022,0.0126569534,0.0109158626,0.0937661395,0.0507134411,0.0193760786,0.014200235
"2019-05-10",0.0248897034,0.0191922,0.0975800946,0.0127271173,0.0110030666,0.0940620704,0.0509051802,0.0194889077,0.0142991678
"2019-05-11",0.024889561,0.0191919472,0.0975811094,0.0127270445,0.0110030037,0.0940622474,0.0509046031,0.0194885103,0.014299086
"2019-05-12",0.024889825,0.0192189229,0.0975808689,0.0127263914,0.0109919038,0.0940615607,0.0509057085,0.0195089098,0.0142991555
"2019-05-13",0.0246671407,0.0190847725,0.0973915533,0.0126061331,0.0109233236,0.093372067,0.0506110078,0.019400379,0.0141591036
"2019-05-14",0.024825859,0.0191459769,0.0977874357,0.0126934465,0.0110202996,0.094090869,0.0508724825,0.0194703669,0.014221393
"2019-05-15",0.0248609764,0.0191428123,0.0979249671,0.0127076169,0.0110851467,0.0943376746,0.0508259104,0.0194865885,0.0142409387
"2019-05-16",0.0249181238,0.0191686746,0.0980010179,0.0127415802,0.0111250547,0.0946021148,0.0508495834,0.0195453656,0.0142362433
"2019-05-17",0.0249218359,0.0191470353,0.0983500062,0.0127290108,0.0111771709,0.0946460314,0.0507707671,0.0195801631,0.0142148937
"2019-05-18",0.0249214993,0.019147061,0.0983475409,0.0127289811,0.0111771621,0.0946448954,0.0507705079,0.0195798987,0.0142147017
"2019-05-19",0.0249416442,0.0191315251,0.0984291723,0.0127419733,0.011174816,0.0947205464,0.0508112628,0.0195837758,0.0142261919
"2019-05-20",0.0249666338,0.019145002,0.0985542729,0.0127664713,0.0112022785,0.0948577249,0.0510665982,0.0196110804,0.0142575231
"2019-05-21",0.0250371111,0.019152767,0.0986262767,0.0127971839,0.0112447241,0.0950712653,0.0516554022,0.0196723017,0.0142886312
"2019-05-22",0.025053266,0.0192006166,0.0986887088,0.0128098418,0.0112839149,0.0951533136,0.0516438902,0.0197095923,0.0142890436
"2019-05-23",0.0250067004,0.0192606082,0.098781498,0.0127810849,0.0112882073,0.0949189416,0.051648076,0.01971073,0.0142941172
"2019-05-24",0.0251663261,0.0193706991,0.0994701409,0.0128635385,0.011338988,0.0955483444,0.0519754071,0.0198272282,0.0144151895
"2019-05-25",0.0251584918,0.0193676644,0.0994561425,0.0128615232,0.0113362027,0.0955254479,0.0519676966,0.0198241219,0.0144129311
"2019-05-26",0.0251622608,0.0193685145,0.0994711794,0.0128604964,0.0113291726,0.0955404501,0.0519753472,0.0198149524,0.0144151728
